city,state,dam_name,river,year_completed,hazard,eap,latitude,longitude
NA,AK,LAKE CONNELL,WARD CREEK,1953,H,Y,55.433334,-131.6699
ADAK NAVAL BASE,AK,NORTH LAKE WEST DAM,NA,1945,S,N,51.96032,-176.58898
NA,AK,CHINIAK SATELLITE TRACKING STA. DAM,NA,1954,L,NR,57.5967,-152.1783
KIVALINA,AK,RED DOG WATER SUPPLY DAM,BONS CREEK,1989,S,Y,68.0689,-162.8778
NA,AK,BLUFF LAKE DIVERSION,NEETS CREEK,1984,L,NR,55.778057,-131.4505
CRAIG,AK,NORTH FORK LAKE DAM,NORTH FORK CREEK,NA,S,Y,55.463936,-132.916486
MCGRATH,AK,NIXON FORK TAILINGS DAM,RUBY CREEK-TR,1995,S,Y,63.238,-154.778
NA,AK,SAND PIT DAM,NA,2016,L,NR,58.14424,-134.75362
ADAK NAVAL BASE,AK,LAKE LEONE DAM,NA,1945,S,N,51.84485,-176.6418
WILLOW,AK,CASWELL LAKES ROAD EMBANKMENT,CASWELL CREEK,NA,S,Y,62.0005556,-149.956667
ORRVILLE,AL,DAVID PEARCE #80,TR BEAR CREEK,1998,L,NR,32.375,-87.375
BUGHALL,AL,OLD TOWN CREEK W/S DAM SITE 25,EAST CREEK,1973,L,NR,32.0518,-85.804
NA,AL,ALEXANDER POND DAM,NA,NA,S,N,31.60167,-86.735
SAWYERVILLE,AL,TURPIN VISE,TR-HINES CREEK,1984,L,NR,32.71,-87.75
DEMOPOLIS,AL,JULIAN BLALOCK 2,TR-PICKS CK.,1988,L,NR,32.61833,-87.65166
EPES,AL,THERESA BALLARD #4,TR MOORE BRANCH,1995,L,NR,32.83278,-87.93167
GREENSBORO,AL,BUBBA DRURY #2,TR-PICKS CREEK,1981,L,NR,32.66,-87.61
MUD CREEK,AL,GAULT LAKE DAM,TR-MUD CREEK,1950,L,NR,33.64833,-88.13667
SMUTEYE,AL,WHITE OAK NO 2,BIG SANDY CREEK,1946,L,N,32.05333,-85.673330000000007
MACEDONIA CHURCH COMMUNITY,AL,WAGON WHEEL LAKE DAM,TR-TIERCE CREEK,1960,L,NR,33.38833,-87.54
NONE,AR,MIDWAY LAKE DAM,ROC ROE BAYOU-TR,1955,L,NR,34.63333333,-91.355
LITTLE ROCK,AR,SIENNA LAKE DAM,MC HENRY CREEK-OS,1966,L,NR,34.695,-92.41833333
PALMYRA,AR,PATOCCA LOWER LAKE DAM,SANDERS CREEK-TR,1970,L,NR,33.91333333,-91.87333333
BLOOMER,AR,ENGINEER LAKE DAM,BIG CREEK-TR,1945,L,NR,35.28027778,-94.00277778
POCAHONTAS,AR,MEADOWS LAKE DAM,TURNER CREEK,1956,L,NR,36.48833333,-91.03666667
ADONA,AR,CLEAR WATER LAKE DAM,ROCKEY CYPRESS CREEK-TR,1970,L,NR,35.04,-92.96333333
LA GRUE SPRINGS,AR,ARNONAME 288,LAGRUE BAYOU-OS,1950,L,NR,34.32055556,-91.26888889
GRANDVIEW,AR,LAKE LUCERENE DAM,KEELS CREEK-TR,1944,S,NR,36.37333333,-93.73138889
NONE,AR,ARNONAME 280,MILL BAYOU-TR,1962,L,NR,34.26666667,-91.41
NONE,AR,BREWER LAKE DAM,OPOSSUM CREEK,1969,L,NR,34.29666667,-94.32166667
ZENIFF,AZ,MILL POND,UNKNOWN,1996,L,NR,34.515,-110.35667
YUMA,AZ,MORELOS DIVERSION,COLORADO,1950,NA,NR,32.70500183,-114.7279968
PIMA,AZ,ROGERS RESERVOIR,COTTONWOOD CREEK - OS,1894,L,NR,32.87972,-109.84806
NO DATA,AZ,SWEETWOOD (K4),KR DRAW,NA,L,NR,35.33333,-112.275
EAGAR,AZ,SHEEP SPRINGS #1,FISH CREEK,1956,L,NR,34.05056,-109.53667
WICKENBURG,AZ,CASANDRO WASH,CASANDRO WASH,1996,H,Y,33.9675,-112.74861
NO DATA,AZ,CAMP VERDE WWTP DUCK PONDS,OFFSTREAM,1982,L,NR,34.55389,-111.83028
WINSLOW,AZ,CHEVELON CANYON,CHEVELON CREEK,1966,L,NR,34.51139,-110.82389
"SAINT GEORGE, UTAH",AZ,CROSBY TANK DETENTION DAM,LANGS RUN,1959,L,NR,36.45154,-113.23456
NO DATA,AZ,WHITE ROAD BASIN,UNKNOWN,1995,L,NR,32.9503,-112.0919
BEALE AFB,CA,MILLER,REEDS CREEK,1955,L,NR,39.16999817,-121.3966675
3,CA,STEVENOT,TR CARSON CREEK,1987,S,N,38.0343,-120.4986
0.3,CA,RANCHO CIELITO,TR CHINO CREEK,1912,H,N,33.9768,-117.7089
NORTH FORK,CA,SAN JOAQUIN NO. 3 FOREBAY,NORTH FORK WILLOW CREEK,1906,L,NR,37.2535,-119.5325
4,CA,CROCKER DIVERSION,MERCED RIVER,1910,L,N,37.5152,-120.3697
RENO,CA,MARTIS CREEK DAM,MARTIS CREEK,1972,H,Y,39.326672,-120.1117
LAKE TAHOE,CA,ECHO LAKE,ECHO CREEK,1992,H,Y,38.8349,-120.0443
2,CA,FERRO DEBRIS BASIN,TR BEARDSLEY WASH,1986,S,Y,34.2622,-119.1078
SACRAMENTO,CA,LOWER POND / POND 1,NA,NA,S,N,38.547222,-121.325833
7,CA,EL CAPITAN,SAN DIEGO RIVER,1934,H,Y,32.8856,-116.8093
LONGMONT,CO,LAKE ISABELLE,S F ST VRAIN CREEK,1925,L,NR,40.069999,-105.61556
HOTCHKISS,CO,ELK WALLOWS,LEROUX CREEK-TR,1903,L,NR,39.009867,-107.711741
CEDAREDGE,CO,SHEEP LAKE,WARD CREEK-TR,1889,L,NR,39.028329,-107.98722
NUNN,CO,GIFFIN #2 (UPPER),LONE TREE CREEK,1952,L,NR,40.839169,-104.82583
DECKERS,CO,H. H. MOORE DIVIDE,RULE CREEK,1946,L,NR,38.944999,-105.14667
HOTCHKISS,CO,SKIM MILK,LEROUX CREEK-TR,1904,L,NR,39.018329,-107.718889
LAPORTE,CO,CLAYMORE,CACHE LA POUDRE,1978,S,Y,40.616003,-105.149359
SOUTH FORK,CO,BEAVER PARK,BEAVER CREEK,1912,H,Y,37.59611,-106.666677
LONGMONT,CO,WESTERN MOBILE LAKE 4,ST VRAIN,NA,L,N,NA,NA
ESTES PARK,CO,CARRIAGE HILLS #1 (UPPER),FISH CREEK-TR,1967,S,Y,40.347752,-105.505337
WESTPORT,CT,GREEN ACRE LANE POND DAM,UNNAMED,NA,S,N,41.129637,-73.352381
CHESTER,CT,PATTACONK DAM #3,PATTACONK BROOK,NA,S,NR,41.399642,-72.463599
WATERTOWN,CT,MORRIS RESERVOIR DAM,BRANCH BROOK,NA,H,Y,41.674421,-73.145516
MERIDEN,CT,BRADLEY HUBBARD RESERVOIR DAM,NORTH BROOK,1891,H,Y,41.556654,-72.762676
DRAKEVILLE,CT,WHIST POND DAM,DRAKE POND BROOK,1900,S,Y,41.85097,-73.18337
FITCH CORNER,CT,STONY BROOK RESERVOIR DAM,STONY BROOK,1912,S,Y,41.496129,-72.148864
NEW MILFORD,CT,UNITED NEW MILFORD RESERVOIR #2 DAM,CROSS BROOK,NA,L,Y,41.590445,-73.390323
NORFOLK,CT,DOOLITTLE LAKE DAM,DOOLITTLE LAKE BROOK,1920,S,NR,42.018402,-73.154056
PUTNAM,CT,CADY POND DAM,CADY BROOK,1865,S,NR,41.908808,-71.818594
LYME,CT,UPPER POND DAM (AKA HOLBROOK ),JOSHUA CREEK,1860,S,NR,41.39645,-72.377248
SEAFORD,DE,HEARNS POND DAM,CLEAR BROOK,1912,H,Y,38.67929,-75.59403
SELBYVILLE,DE,TOWN OF SELBYVILLE WASTEWATER LAGOON,POLLY BRANCH,NA,H,NR,38.47076,-75.21529
NONE,DE,TAILINGS POND NO. 2 DAM GETTY OIL,DELAWARE RIVER-OS,1960,L,NR,39.595,-75.61
LAUREL,DE,CITY OF LAUREL SEWAGE LAGOON,BROAD CREEK-OS,1964,H,NR,38.55966,-75.58034
HERITAGE PARK,DE,CAROUSEL POND DAM,MILL CREEK - TR,NA,H,Y,39.72929,-75.68407
WOODLAND,DE,CRAIGS POND,BUTLER MILL BRANCH,NA,H,Y,38.62748,-75.64628
CAMDEN,DE,VOSHELL POND DAM,TIDBURY CREEK,1969,H,NR,39.09594,-75.52848
MILFORD,DE,ABBOTTS POND DAM,JOHNSON BRANCH,1960,H,Y,38.88597,-75.47623
NEWARK,DE,NEWARK RESERVOIR DAM,WHITE CLAY CREEK-TR,2005,H,Y,39.69163,-75.74387
NONE,DE,WAPLES POND DAM,PRIMEHOOK CREEK,NA,H,NR,38.82406,-75.30874
LAKE CITY,FL,L.P.HILL DAM 1,TR-ALLIGATOR LAKE,1966,H,Y,30.171573,-82.609834
PARKER,FL,BP1,UNNAMED POND,NA,U,N,30.118136,-85.627029
MULBERRY,FL,NICHOLS (W-CENTER),UNNAMED POND,NA,S,N,27.870001,-82.029999
FORT GREEN,FL,N-1 SETTLING AREA,HICKEY BRANCH,1978,S,N,27.620001,-81.940002
